path,file_id,sequence_id,participant_id,phrase
landmarks/101.parquet,101,10101,1,abcdefghijklmnopqrstuvwxyz
landmarks/101.parquet,101,10104,1,antecedent
landmarks/101.parquet,101,10105,1,antifascist
landmarks/101.parquet,101,10106,1,cooperate
landmarks/101.parquet,101,10107,1,describe
landmarks/101.parquet,101,10108,1,disdain
landmarks/101.parquet,101,10109,1,embolden
landmarks/101.parquet,101,10110,1,entrap
landmarks/101.parquet,101,10111,1,extraverted
landmarks/101.parquet,101,10112,1,foreground
landmarks/101.parquet,101,10113,1,implicit
landmarks/101.parquet,101,10114,1,indecent
landmarks/101.parquet,101,10115,1,interlude
landmarks/101.parquet,101,10116,1,irrational
landmarks/101.parquet,101,10117,1,misnomer
landmarks/101.parquet,101,10118,1,nonevent
landmarks/101.parquet,101,10119,1,overeager
landmarks/101.parquet,101,10120,1,predetermined
landmarks/101.parquet,101,10121,1,reintroduce
landmarks/101.parquet,101,10122,1,semiconductor
landmarks/101.parquet,101,10123,1,stripey
landmarks/101.parquet,101,10124,1,subsume
landmarks/101.parquet,101,10125,1,superdiverse
landmarks/101.parquet,101,10126,1,telepathic
landmarks/101.parquet,101,10127,1,transcontinental
landmarks/101.parquet,101,10128,1,unsure
landmarks/101.parquet,101,10129,1,underspecify
landmarks/101.parquet,101,10130,1,uptown
landmarks/101.parquet,101,10131,1,able
landmarks/101.parquet,101,10132,1,additive
landmarks/101.parquet,101,10133,1,breach
landmarks/101.parquet,101,10134,1,brown
landmarks/101.parquet,101,10135,1,caution
landmarks/101.parquet,101,10136,1,contrition
landmarks/101.parquet,101,10137,1,culmination
landmarks/101.parquet,101,10138,1,decal
landmarks/101.parquet,101,10139,1,delightful
landmarks/101.parquet,101,10140,1,evenhandedness
landmarks/101.parquet,101,10141,1,falsifying
landmarks/101.parquet,101,10142,1,ferment
landmarks/101.parquet,101,10143,1,fewer
landmarks/101.parquet,101,10144,1,final
landmarks/101.parquet,101,10145,1,fishes
landmarks/101.parquet,101,10146,1,freedom
landmarks/101.parquet,101,10147,1,frequency
landmarks/101.parquet,101,10148,1,friendless
landmarks/101.parquet,101,10149,1,fusion
landmarks/101.parquet,101,10150,1,generate
landmarks/101.parquet,101,10151,1,gritty
landmarks/101.parquet,101,10152,1,ground
landmarks/101.parquet,101,10153,1,happily
landmarks/101.parquet,101,10154,1,hungriest
landmarks/101.parquet,101,10155,1,hour
landmarks/101.parquet,101,10156,1,iterative
landmarks/101.parquet,101,10157,1,lox
landmarks/101.parquet,101,10158,1,mummy
landmarks/101.parquet,101,10159,1,manure
landmarks/101.parquet,101,10160,1,nighty
landmarks/101.parquet,101,10161,1,odorous
landmarks/101.parquet,101,10162,1,phantom
landmarks/101.parquet,101,10163,1,quantity
landmarks/101.parquet,101,10164,1,radial
landmarks/101.parquet,101,10165,1,sample
landmarks/101.parquet,101,10166,1,slowly
landmarks/101.parquet,101,10167,1,spouting
landmarks/101.parquet,101,10168,1,shock
landmarks/101.parquet,101,10169,1,spurious
landmarks/101.parquet,101,10170,1,suffixes
landmarks/101.parquet,101,10171,1,terrific
landmarks/101.parquet,101,10172,1,truth
landmarks/101.parquet,101,10173,1,warm
landmarks/101.parquet,101,10174,1,zoned
landmarks/101.parquet,101,10175,1,bahhari
landmarks/101.parquet,101,10176,1,burridge
landmarks/101.parquet,101,10177,1,chan
landmarks/101.parquet,101,10178,1,garcia
landmarks/101.parquet,101,10179,1,khoa
landmarks/101.parquet,101,10180,1,nguyen
landmarks/101.parquet,101,10181,1,mark
landmarks/101.parquet,101,10182,1,romanowski
landmarks/101.parquet,101,10183,1,willoughby
landmarks/101.parquet,101,10184,1,beijing
landmarks/101.parquet,101,10185,1,bunnerong
landmarks/101.parquet,101,10186,1,cabramatta
landmarks/101.parquet,101,10187,1,egypt
landmarks/101.parquet,101,10188,1,ezra
landmarks/101.parquet,101,10189,1,iroquois
landmarks/101.parquet,101,10190,1,jakarta
landmarks/101.parquet,101,10191,1,hamburg
landmarks/101.parquet,101,10192,1,nunawading
landmarks/101.parquet,101,10193,1,somalia
landmarks/101.parquet,101,10194,1,tokyo
landmarks/101.parquet,101,10195,1,yarra
landmarks/101.parquet,101,10196,1,wurundjeri
landmarks/101.parquet,101,10204,1,antecedent
landmarks/101.parquet,101,10205,1,antifascist
landmarks/101.parquet,101,10206,1,cooperate
landmarks/101.parquet,101,10207,1,describe
landmarks/101.parquet,101,10208,1,disdain
landmarks/101.parquet,101,10209,1,embolden
landmarks/101.parquet,101,10210,1,entrap
landmarks/101.parquet,101,10211,1,extraverted
landmarks/101.parquet,101,10212,1,foreground
landmarks/101.parquet,101,10213,1,implicit
landmarks/101.parquet,101,10214,1,indecent
landmarks/101.parquet,101,10215,1,interlude
landmarks/101.parquet,101,10216,1,irrational
landmarks/101.parquet,101,10217,1,misnomer
landmarks/101.parquet,101,10218,1,nonevent
landmarks/101.parquet,101,10219,1,overeager
landmarks/101.parquet,101,10220,1,predetermined
landmarks/101.parquet,101,10221,1,reintroduce
landmarks/101.parquet,101,10222,1,semiconductor
landmarks/101.parquet,101,10223,1,stripey
landmarks/101.parquet,101,10224,1,subsume
landmarks/101.parquet,101,10225,1,superdiverse
landmarks/101.parquet,101,10226,1,telepathic
landmarks/101.parquet,101,10227,1,transcontinental
landmarks/101.parquet,101,10228,1,unsure
landmarks/101.parquet,101,10229,1,underspecify
landmarks/101.parquet,101,10230,1,uptown
landmarks/101.parquet,101,10231,1,able
landmarks/101.parquet,101,10232,1,additive
landmarks/101.parquet,101,10233,1,breach
landmarks/101.parquet,101,10234,1,brown
landmarks/101.parquet,101,10235,1,caution
landmarks/101.parquet,101,10236,1,contrition
landmarks/101.parquet,101,10237,1,culmination
landmarks/101.parquet,101,10238,1,decal
landmarks/101.parquet,101,10239,1,delightful
landmarks/101.parquet,101,10240,1,evenhandedness
landmarks/101.parquet,101,10241,1,falsifying
landmarks/101.parquet,101,10242,1,ferment
landmarks/101.parquet,101,10243,1,fewer
landmarks/101.parquet,101,10244,1,final
landmarks/101.parquet,101,10245,1,fishes
landmarks/101.parquet,101,10246,1,freedom
landmarks/101.parquet,101,10247,1,frequency
landmarks/101.parquet,101,10248,1,friendless
landmarks/101.parquet,101,10249,1,fusion
landmarks/101.parquet,101,10250,1,generate
landmarks/101.parquet,101,10251,1,gritty
landmarks/101.parquet,101,10252,1,ground
landmarks/101.parquet,101,10253,1,happily
landmarks/101.parquet,101,10254,1,hungriest
landmarks/101.parquet,101,10255,1,hour
landmarks/101.parquet,101,10256,1,iterative
landmarks/101.parquet,101,10257,1,lox
landmarks/101.parquet,101,10258,1,mummy
landmarks/101.parquet,101,10259,1,manure
landmarks/101.parquet,101,10260,1,nighty
landmarks/101.parquet,101,10261,1,odorous
landmarks/101.parquet,101,10262,1,phantom
landmarks/101.parquet,101,10263,1,quantity
landmarks/101.parquet,101,10264,1,radial
landmarks/101.parquet,101,10265,1,sample
landmarks/101.parquet,101,10266,1,slowly
landmarks/101.parquet,101,10267,1,spouting
landmarks/101.parquet,101,10268,1,shock
landmarks/101.parquet,101,10269,1,spurious
landmarks/101.parquet,101,10270,1,suffixes
landmarks/101.parquet,101,10271,1,terrific
landmarks/101.parquet,101,10272,1,truth
landmarks/101.parquet,101,10273,1,warm
landmarks/101.parquet,101,10274,1,zoned
landmarks/101.parquet,101,10275,1,bahhari
landmarks/101.parquet,101,10276,1,burridge
landmarks/101.parquet,101,10277,1,chan
landmarks/101.parquet,101,10278,1,garcia
landmarks/101.parquet,101,10279,1,khoa
landmarks/101.parquet,101,10280,1,nguyen
landmarks/101.parquet,101,10281,1,mark
landmarks/101.parquet,101,10282,1,romanowski
landmarks/101.parquet,101,10283,1,willoughby
landmarks/101.parquet,101,10284,1,beijing
landmarks/101.parquet,101,10285,1,bunnerong
landmarks/101.parquet,101,10286,1,cabramatta
landmarks/101.parquet,101,10287,1,egypt
landmarks/101.parquet,101,10288,1,ezra
landmarks/101.parquet,101,10289,1,iroquois
landmarks/101.parquet,101,10290,1,jakarta
landmarks/101.parquet,101,10291,1,hamburg
landmarks/101.parquet,101,10292,1,nunawading
landmarks/101.parquet,101,10293,1,somalia
landmarks/101.parquet,101,10294,1,tokyo
landmarks/101.parquet,101,10295,1,yarra
landmarks/101.parquet,101,10296,1,wurundjeri
landmarks/101.parquet,101,10301,2,abcdefghijklmnopqrstuvwxyz
landmarks/101.parquet,101,10304,2,antecedent
landmarks/101.parquet,101,10305,2,antifascist
landmarks/101.parquet,101,10306,2,cooperate
landmarks/101.parquet,101,10307,2,describe
landmarks/101.parquet,101,10309,2,embolden
landmarks/101.parquet,101,10310,2,entrap
landmarks/101.parquet,101,10311,2,extraverted
landmarks/101.parquet,101,10312,2,foreground
landmarks/101.parquet,101,10313,2,implicit
landmarks/101.parquet,101,10314,2,indecent
landmarks/101.parquet,101,10315,2,interlude
landmarks/101.parquet,101,10316,2,irrational
landmarks/101.parquet,101,10317,2,misnomer
landmarks/101.parquet,101,10318,2,nonevent
landmarks/101.parquet,101,10319,2,overeager
